experience,median_integration_time,component,platform,severity,priority,description_size,hascode,bug_id,files,comments,tossing,activities,comments_interval,churn,fix_time,workload,creation_to_release,days,delay,resolver,entire_int_rate,prev_int_rate,coming_from_prev,has_stack,resolver_experience,rank_ratio,active_developers,release_size,class,class2
1061,0,Core,'PC Windows 2000',major,P3,44,false,29524,1,5,1,7,132,9,3,337,0,288,2,Jerome Lanneluc,0,0,178,false,228,0.639923591,10,548,1,after-2
653,0,Core,'PC Windows 2000',normal,P3,35,false,29536,3,3,1,6,312,21,4,340,0,286,2,Jerome Lanneluc,0,0,178,false,230,0.64565425,10,548,1,after-2
1343,0,Core,'PC Windows 2000',normal,P3,73,false,29585,2,8,2,11,89.14285714,11,1,333,0,289,2,Jerome Lanneluc,0,0,178,true,226,0.632282713,10,548,1,after-2
819,0,Core,'PC Windows 2000',normal,P3,100,true,29601,1,4,1,6,200,27,4,338,0,286,2,Jerome Lanneluc,0,0,178,false,229,0.641833811,10,548,1,after-2
1061,0,Core,'PC Windows 2000',critical,P3,64,false,29621,1,5,2,8,126,27,0,330,0,290,2,Jerome Lanneluc,0,0,178,false,225,0.626552053,10,548,1,after-2
346,0,Core,'PC Windows 2000',normal,P3,21,false,29637,1,3,0,4,336,4,0,329,0,290,2,Olivier Thomann,0,0,178,false,237,0.624641834,10,548,1,after-2
905,0,Core,'PC Windows 2000',normal,P3,295,false,29790,1,11,4,16,84,15,24,415,0,262,2,Kent Johnson,0,0,178,true,111,0.789875836,10,548,1,after-2
1061,0,Core,'PC Windows 2000',normal,P3,37,false,29864,4,11,1,7,2807.9,134,2,356,0,283,2,Jerome Lanneluc,0,0,178,false,234,0.676217765,10,548,1,after-2
444,0,Core,'PC Windows 2000',normal,P3,39,false,29872,1,4,2,6,184,26,0,347,0,285,2,Jerome Lanneluc,0,0,178,false,233,0.659025788,10,548,1,after-2
112,0,Core,'PC Windows 2000',normal,P3,36,true,29969,1,3,0,4,240,11,0,352,0,284,2,David Audel,0,0,178,false,112,0.668576886,10,548,1,after-2
2,0,Core,'PC Windows XP',normal,P3,35,false,30013,1,3,1,5,240,2,0,354,0,283,2,David Audel,0,0,178,false,113,0.672397326,10,548,1,after-2
819,0,Core,'PC Windows 2000',major,P3,39,false,30099,1,3,1,5,168,66,0,360,0,282,2,David Audel,0,0,178,false,114,0.683858644,10,548,1,after-2
819,0,Core,'PC Windows 2000',normal,P3,16,false,30102,1,9,1,5,57,73,3,364,0,279,2,David Audel,0,0,178,false,116,0.691499522,10,548,1,after-2
951,0,Core,'PC Windows 2000',normal,P3,131,false,30282,1,4,0,5,112,37,0,365,0,279,2,Olivier Thomann,0,0,178,false,243,0.693409742,10,548,1,after-2
951,0,Core,'PC Windows 2000',normal,P3,89,false,30487,1,4,1,5,96,4,0,370,0,277,2,Philipe Mulet,0,0,178,true,314,0.70487106,10,548,1,after-2
951,0,Core,'PC Windows 2000',normal,P3,41,false,30496,1,3,1,6,168,12,0,372,0,277,2,Philipe Mulet,0,0,178,false,316,0.7086915,10,548,1,after-2
1625,0,Core,'PC Windows 2000',major,P3,20,false,30511,7,9,1,7,39,42,1,380,0,275,2,Jerome Lanneluc,0,0,178,false,244,0.723973257,10,548,1,after-2
4,0,Core,'PC Windows XP',major,P3,120,false,30623,4,18,5,18,35.29411765,349,19,448,0,256,2,Jerome Lanneluc,0,0,178,false,266,0.852913085,10,548,1,after-2
951,0,Core,'PC Windows 2000',normal,P3,30,true,30704,1,3,1,5,120,50,0,381,0,275,2,Philipe Mulet,0,0,178,false,317,0.725883477,10,548,1,after-2
